gene_name	prob
AGRN	0.636561334133148
NOC2L	0.51941329240799
B3GALT6	0.428727090358734
C1orf159	0.146139457821846
ISG15	0.460647642612457
KLHL17	0.352169781923294
PLEKHN1	0.146139457821846
SAMD11	0.263579308986664
OR4F5	0.186891868710518
HES4	0.285495072603226
FAM132A	0.179693475365639
TNFRSF18	0.412388771772385
SDF4	0.309710115194321
TNFRSF4	0.146139457821846
TTLL10	0.146139457821846
UBE2J2	0.695660710334778
ATAD3C	0.111908376216888
MRPL20	0.517771780490875
CPSF3L	0.533326327800751
AURKAIP1	0.642399787902832
SSU72	0.715341866016388
GLTPD1	0.291500627994537
MXRA8	0.524724423885345
ACAP3	0.563471615314484
VWA1	0.180262446403503
ATAD3A	0.407012283802032
CCNL2	0.665793180465698
DVL1	0.692661643028259
SCNN1D	0.340754777193069
ATAD3B	0.2521011531353
PUSL1	0.19659511744976
C1orf86	0.508349061012268
SKI	0.782960891723633
CDK11B	0.458788931369781
GNB1	0.782960891723633
SLC35E2B	0.328262567520142
CDK11A	0.370475143194199
NADK	0.446246325969696
PEX10	0.390338778495789
CALML6	0.341067612171173
TMEM52	0.146139457821846
MORN1	0.12329725921154
GABRD	0.836621522903442
PRKCZ	0.756173670291901
RER1	0.675177454948425
MIB2	0.638582646846771
SLC35E2	0.277585834264755
PRDM16	0.774301469326019
TP73	0.850708901882172
PLCH2	0.539760589599609
LRRC47	0.661956608295441
DFFB	0.517467737197876
ACTRT2	0.170125707983971
ARHGEF16	0.228620409965515
TPRG1L	0.465901136398315
HES5	0.706473469734192
C1orf174	0.146139457821846
MEGF6	0.475266188383102
FAM213B	0.239198908209801
CCDC27	0.12329725921154
WRAP73	0.535182178020477
CEP104	0.443194806575775
MMEL1	0.318461716175079
PANK4	0.6246417760849
TNFRSF14	0.545987665653229
KLHL21	0.81318861246109
NOL9	0.428845584392548
PLEKHG5	0.617312729358673
KCNAB2	0.806311309337616
ICMT	0.672696948051453
ESPN	0.426909863948822
AJAP1	0.752204060554504
ZBTB48	0.531613290309906
TNFRSF25	0.643315017223358
TAS1R1	0.146139457821846
NPHP4	0.26556670665741
RPL22	0.842442452907562
RNF207	0.333215653896332
HES3	0.285495072603226
CHD5	0.808718860149384
PHF13	0.646412014961243
THAP3	0.153042644262314
ACOT7	0.728293240070343
HES2	0.285495072603226
GPR153	0.286939382553101
VAMP3	0.627972543239594
SLC45A1	0.61401242017746
CA6	0.233598709106445
DNAJC11	0.672696948051453
PIK3CD	0.850708901882172
ENO1	0.73665714263916
SLC25A33	0.699412524700165
ERRFI1	0.799537539482117
SLC2A5	0.29693990945816
GPR157	0.177065938711166
UTS2	0.12329725921154
SLC2A7	0.170125707983971
TMEM201	0.569524526596069
TNFRSF9	0.442728728055954
CAMTA1	0.692589044570923
PARK7	0.831385493278503
PER3	0.429466158151627
H6PD	0.331085681915283
SPSB1	0.852899193763733
RERE	0.748812794685364
PEX14	0.782960891723633
CLSTN1	0.708272397518158
APITD1-CORT	0.146139457821846
DFFA	0.45670148730278
TARDBP	0.782960891723633
EXOSC10	0.647679150104523
LZIC	0.294196963310242
CORT	0.146139457821846
SRM	0.728293240070343
PGD	0.695660710334778
RBP7	0.316714137792587
CTNNBIP1	0.718702614307404
C1orf200	0.187832981348038
CASZ1	0.752204060554504
KIF1B	0.613231182098389
MASP2	0.19659511744976
UBE4B	0.705895304679871
C1orf127	0.178924083709717
APITD1	0.146139457821846
NMNAT1	0.598731279373169
FBXO6	0.460647642612457
FBXO2	0.676289141178131
FBXO44	0.621434688568115
NPPB	0.181705474853516
MAD2L2	0.850708901882172
UBIAD1	0.527827441692352
MIIP	0.146139457821846
MFN2	0.70443332195282
C1orf167	0.146139457821846
CLCN6	0.575333595275879
TNFRSF8	0.542329490184784
PLOD1	0.414402037858963
MTOR	0.800218820571899
DRAXIN	0.238498076796532
ANGPTL7	0.349588096141815
MTHFR	0.379179179668427
NPPA	0.244530007243156
AGTRAP	0.599986732006073
PTCHD2	0.700130879878998
AADACL3	0.111908376216888
PRAMEF6	0.255355030298233
PRAMEF1	0.255355030298233
PRAMEF12	0.111908376216888
HNRNPCL1	0.111908376216888
TNFRSF1B	0.668608248233795
DHRS3	0.728293240070343
PRAMEF2	0.111908376216888
C1orf158	0.146139457821846
PRAMEF22	0.255355030298233
PRAMEF11	0.255355030298233
PRAMEF4	0.255355030298233
AADACL4	0.111908376216888
PRAMEF10	0.430698156356812
VPS13D	0.563471615314484
PRAMEF7	0.186891868710518
PRAMEF14	0.186891868710518
PRDM2	0.654942452907562
TMEM51	0.552602291107178
PRAMEF19	0.186891868710518
PDPN	0.12329725921154
CELA2B	0.111908376216888
CTRC	0.170125707983971
EFHD2	0.515755295753479
PRAMEF17	0.255355030298233
PRAMEF13	0.186891868710518
CELA2A	0.139342904090881
KAZN	0.559683740139008
AGMAT	0.239198908209801
SPEN	0.774626612663269
TMEM82	0.19659511744976
SLC25A34	0.250911235809326
FBLIM1	0.511493563652039
